,itemcode,date,close_val,change_val,change_rate,acc_quant,acc_amount,log_change_rate,lunage
1951,KOSDAQ,20161114,62123,-66.0,-0.11,472394,2467066,-0.1062,14.8
1952,KOSDAQ,20161115,61743,-380.0,-0.61,524097,3193263,-0.6136,15.8
1953,KOSDAQ,20161116,62783,1040.0,1.68,591707,2810474,1.6704,16.8
1954,KOSDAQ,20161117,62776,-7.0,-0.01,658763,2760267,-0.0112,17.8
1955,KOSDAQ,20161118,62026,-750.0,-1.19,613141,2613121,-1.2019,18.8
1956,KOSDAQ,20161121,60933,-1093.0,-1.76,620575,2628919,-1.7779,21.8
1957,KOSDAQ,20161122,61074,141.0,0.23,640401,2612018,0.2311,22.8
1958,KOSDAQ,20161123,60029,-1045.0,-1.71,614425,2843869,-1.7258,23.8
1959,KOSDAQ,20161124,59265,-764.0,-1.27,595065,2917537,-1.2809,24.8
1960,KOSDAQ,20161125,59782,517.0,0.87,527402,2430815,0.8686,25.8
1961,KOSDAQ,20161128,59305,-477.0,-0.8,543940,2520252,-0.8011,28.8
1962,KOSDAQ,20161129,59607,302.0,0.51,792712,3303616,0.5079,29.8
1963,KOSDAQ,20161130,59611,4.0,0.01,551432,2518220,0.0067,1.0
1964,KOSDAQ,20161201,59385,-226.0,-0.38,627418,2619233,-0.3798,2.0
1965,KOSDAQ,20161202,58673,-712.0,-1.2,546852,2307606,-1.2062,3.0
1966,KOSDAQ,20161205,57512,-1161.0,-1.98,612468,2545663,-1.9986,6.0
1967,KOSDAQ,20161206,58135,623.0,1.08,534552,2395861,1.0774,7.0
1968,KOSDAQ,20161207,57852,-283.0,-0.49,594564,2755146,-0.488,8.0
1969,KOSDAQ,20161208,58462,610.0,1.05,663171,2839308,1.0489,9.0
1970,KOSDAQ,20161209,59435,973.0,1.66,591778,2754371,1.6506,10.0
1971,KOSDAQ,20161212,60308,873.0,1.47,618903,2947795,1.4581,13.0
1972,KOSDAQ,20161213,61109,801.0,1.33,631356,3334931,1.3194,14.0
1973,KOSDAQ,20161214,61247,138.0,0.23,686775,3180786,0.2256,15.0
1974,KOSDAQ,20161215,62061,814.0,1.33,586633,2939860,1.3203,16.0
1975,KOSDAQ,20161216,62208,147.0,0.24,764615,3635125,0.2366,17.0
1976,KOSDAQ,20161219,62277,69.0,0.11,639055,3096436,0.1109,20.0
1977,KOSDAQ,20161220,61799,-478.0,-0.77,655275,3102768,-0.7705,21.0
1978,KOSDAQ,20161221,61863,64.0,0.1,832377,3641530,0.1035,22.0
1979,KOSDAQ,20161222,61593,-270.0,-0.44,861490,3008177,-0.4374,23.0
1980,KOSDAQ,20161223,61975,382.0,0.62,691872,2949238,0.6183,24.0
1981,KOSDAQ,20161226,61516,-459.0,-0.74,677608,3152457,-0.7434,27.0
1982,KOSDAQ,20161227,61838,322.0,0.52,682585,3011373,0.5221,28.0
1983,KOSDAQ,20161228,62727,889.0,1.44,619249,2814031,1.4274,29.0
1984,KOSDAQ,20161229,63144,417.0,0.66,574205,2606219,0.6626,0.2
1985,KOSDAQ,20170102,63204,60.0,0.1,506459,2304545,0.095,4.2
1986,KOSDAQ,20170103,63657,453.0,0.72,614451,2934168,0.7142,5.2
1987,KOSDAQ,20170104,63979,322.0,0.51,607521,2907453,0.5046,6.2
1988,KOSDAQ,20170105,64248,269.0,0.42,801800,2872408,0.4196,7.2
1989,KOSDAQ,20170106,64368,120.0,0.19,748592,2976965,0.1866,8.2
1990,KOSDAQ,20170109,64215,-153.0,-0.24,660826,2756359,-0.238,11.2
1991,KOSDAQ,20170110,63673,-542.0,-0.84,791429,3148535,-0.8476,12.2
1992,KOSDAQ,20170111,63790,117.0,0.18,901576,3146516,0.1836,13.2
1993,KOSDAQ,20170112,63287,-503.0,-0.79,796618,3030835,-0.7917,14.2
1994,KOSDAQ,20170113,63468,181.0,0.29,746213,3074851,0.2856,15.2
1995,KOSDAQ,20170116,62788,-680.0,-1.07,643259,2478241,-1.0772,18.2
1996,KOSDAQ,20170117,62400,-388.0,-0.62,744512,2591555,-0.6199,19.2
1997,KOSDAQ,20170118,62689,289.0,0.46,665641,2519782,0.4621,20.2
1998,KOSDAQ,20170119,62619,-70.0,-0.11,702434,2606185,-0.1117,21.2
1999,KOSDAQ,20170120,62212,-407.0,-0.65,713510,2535780,-0.6521,22.2
2000,KOSDAQ,20170123,61599,-613.0,-0.99,687665,2575025,-0.9902,25.2
2001,KOSDAQ,20170124,61293,-306.0,-0.5,674829,2845644,-0.498,26.2
2002,KOSDAQ,20170125,60964,-329.0,-0.54,764805,2975351,-0.5382,27.2
2003,KOSDAQ,20170126,61681,717.0,1.18,632201,2625697,1.1692,28.2
2004,KOSDAQ,20170131,61613,-68.0,-0.11,719544,2450575,-0.1103,3.5
2005,KOSDAQ,20170201,62368,755.0,1.23,914193,2434849,1.2179,4.5
