,itemcode,date,close_val,change_val,change_rate,acc_quant,acc_amount,log_change_rate,lunage
266,KOSPI,20100122,168435,-3766.0,-2.19,605051,6510145,-2.2112,7.2
267,KOSPI,20100125,167020,-1415.0,-0.84,579280,5739580,-0.8436,10.2
268,KOSPI,20100126,163734,-3286.0,-1.97,568776,6030577,-1.987,11.2
269,KOSPI,20100127,162548,-1186.0,-0.72,439801,5637791,-0.727,12.2
270,KOSPI,20100128,164243,1695.0,1.04,473304,5372609,1.0374,13.2
271,KOSPI,20100129,160243,-4000.0,-2.44,467444,5610325,-2.4656,14.2
272,KOSPI,20100201,160644,401.0,0.25,376848,5035915,0.2499,17.2
273,KOSPI,20100202,159581,-1063.0,-0.66,430376,4936669,-0.6639,18.2
274,KOSPI,20100203,161502,1921.0,1.2,432471,4387879,1.1966,19.2
275,KOSPI,20100204,161642,140.0,0.09,392597,4031137,0.0866,20.2
276,KOSPI,20100205,156712,-4930.0,-3.05,455323,4866843,-3.0974,21.2
277,KOSPI,20100208,155279,-1433.0,-0.91,436893,4107383,-0.9186,24.2
278,KOSPI,20100209,157049,1770.0,1.14,418067,4101976,1.1334,25.2
279,KOSPI,20100210,157012,-37.0,-0.02,429027,4017871,-0.0236,26.2
280,KOSPI,20100211,159781,2769.0,1.76,387059,4304025,1.7482,27.2
281,KOSPI,20100212,159366,-415.0,-0.26,286122,4167949,-0.2601,28.2
282,KOSPI,20100216,160105,739.0,0.46,271085,2687748,0.4626,2.4
283,KOSPI,20100217,162743,2638.0,1.65,377713,4008190,1.6342,3.4
284,KOSPI,20100218,162119,-624.0,-0.38,308435,3193869,-0.3842,4.4
285,KOSPI,20100219,159390,-2729.0,-1.68,340317,3691046,-1.6977,5.4
286,KOSPI,20100222,162710,3320.0,2.08,302645,3388928,2.0615,8.4
287,KOSPI,20100223,162890,180.0,0.11,343873,3412601,0.1106,9.4
288,KOSPI,20100224,161283,-1607.0,-0.99,384150,3805782,-0.9915,10.4
289,KOSPI,20100225,158751,-2532.0,-1.57,397398,3892548,-1.5824,11.4
290,KOSPI,20100226,159458,707.0,0.45,326614,3106581,0.4444,12.4
291,KOSPI,20100302,161512,2054.0,1.29,407865,4033608,1.2799,16.4
292,KOSPI,20100303,162244,732.0,0.45,393698,3198019,0.4522,17.4
293,KOSPI,20100304,161820,-424.0,-0.26,377670,3257519,-0.2617,18.4
294,KOSPI,20100305,163457,1637.0,1.01,336466,3259136,1.0065,19.4
295,KOSPI,20100308,166004,2547.0,1.56,360539,4699860,1.5462,22.4
296,KOSPI,20100309,166083,79.0,0.05,624702,4344076,0.0476,23.4
297,KOSPI,20100310,166224,141.0,0.08,490213,3811175,0.0849,24.4
298,KOSPI,20100311,165662,-562.0,-0.34,520156,4693458,-0.3387,25.4
299,KOSPI,20100312,166274,612.0,0.37,361972,3589552,0.3687,26.4
300,KOSPI,20100315,164950,-1324.0,-0.8,337625,3282239,-0.7995,29.4
301,KOSPI,20100316,164801,-149.0,-0.09,467242,3947195,-0.0904,0.6
302,KOSPI,20100317,168286,3485.0,2.11,597087,5640527,2.0926,1.6
303,KOSPI,20100318,167517,-769.0,-0.46,424139,4724092,-0.458,2.6
304,KOSPI,20100319,168611,1094.0,0.65,433279,4135222,0.6509,3.6
305,KOSPI,20100322,167267,-1344.0,-0.8,342139,3731209,-0.8003,6.6
306,KOSPI,20100323,168182,915.0,0.55,408396,4615666,0.5455,7.6
307,KOSPI,20100324,168101,-81.0,-0.05,364443,4423235,-0.0482,8.6
308,KOSPI,20100325,168839,738.0,0.44,382198,4436079,0.4381,9.6
309,KOSPI,20100326,169772,933.0,0.55,390645,4056297,0.5511,10.6
310,KOSPI,20100329,169199,-573.0,-0.34,333364,4039795,-0.3381,13.6
311,KOSPI,20100330,170019,820.0,0.48,314386,4603509,0.4835,14.6
312,KOSPI,20100331,169285,-734.0,-0.43,322739,4773021,-0.4327,15.6
313,KOSPI,20100401,171917,2632.0,1.55,290304,5675671,1.5428,16.6
314,KOSPI,20100402,172349,432.0,0.25,343030,5998549,0.251,17.6
315,KOSPI,20100405,172499,150.0,0.09,415399,5431553,0.087,20.6
316,KOSPI,20100406,172609,110.0,0.06,413536,4744202,0.0637,21.6
317,KOSPI,20100407,172660,51.0,0.03,382514,5304910,0.0295,22.6
318,KOSPI,20100408,173378,718.0,0.42,342017,4467666,0.415,23.6
319,KOSPI,20100409,172447,-931.0,-0.54,370926,4765403,-0.5384,24.6
320,KOSPI,20100412,171030,-1417.0,-0.82,407319,5646856,-0.8251,27.6
321,KOSPI,20100413,171059,29.0,0.02,359855,4286461,0.017,28.6
322,KOSPI,20100414,173533,2474.0,1.45,424730,5653468,1.4359,29.6
323,KOSPI,20100415,174391,858.0,0.49,456676,6706484,0.4932,1.0
324,KOSPI,20100416,173449,-942.0,-0.54,374592,4835821,-0.5416,2.0
325,KOSPI,20100419,170530,-2919.0,-1.68,362794,4322681,-1.6972,5.0
326,KOSPI,20100420,171803,1273.0,0.75,515141,4799027,0.7437,6.0
327,KOSPI,20100421,174758,2955.0,1.72,526089,5970826,1.7054,7.0
328,KOSPI,20100422,173952,-806.0,-0.46,516781,5669535,-0.4623,8.0
329,KOSPI,20100423,173703,-249.0,-0.14,454500,5443868,-0.1432,9.0
330,KOSPI,20100426,175220,1517.0,0.87,409922,5161668,0.8695,12.0
331,KOSPI,20100427,174955,-265.0,-0.15,424147,5389161,-0.1514,13.0
332,KOSPI,20100428,173391,-1564.0,-0.89,387837,6362505,-0.898,14.0
333,KOSPI,20100429,172842,-549.0,-0.32,432697,6447499,-0.3171,15.0
334,KOSPI,20100430,174156,1314.0,0.76,402135,6560698,0.7574,16.0
335,KOSPI,20100503,172121,-2035.0,-1.17,406195,5431387,-1.1754,19.0
336,KOSPI,20100504,171875,-246.0,-0.14,369447,5240311,-0.143,20.0
337,KOSPI,20100506,168471,-3404.0,-1.98,442166,6220663,-2.0004,22.0
338,KOSPI,20100507,164750,-3721.0,-2.21,445947,7350446,-2.2334,23.0
339,KOSPI,20100510,167763,3013.0,1.83,375112,5392844,1.8123,26.0
340,KOSPI,20100511,167024,-739.0,-0.44,449122,6407669,-0.4415,27.0
341,KOSPI,20100512,166303,-721.0,-0.43,440849,7172311,-0.4326,28.0
342,KOSPI,20100513,169458,3155.0,1.9,390119,5892900,1.8794,29.0
343,KOSPI,20100514,169563,105.0,0.06,411108,6623858,0.0619,0.5
344,KOSPI,20100517,165151,-4412.0,-2.6,387378,6994844,-2.6364,3.5
345,KOSPI,20100518,164324,-827.0,-0.5,476960,6705398,-0.502,4.5
346,KOSPI,20100519,163008,-1316.0,-0.8,405414,6641666,-0.8041,5.5
347,KOSPI,20100520,160018,-2990.0,-1.83,352307,6414796,-1.8513,6.5
348,KOSPI,20100524,160493,475.0,0.3,266236,4707959,0.2964,10.5
349,KOSPI,20100525,156083,-4410.0,-2.75,468104,6697241,-2.7862,11.5
350,KOSPI,20100526,158212,2129.0,1.36,350974,6439338,1.3548,12.5
351,KOSPI,20100527,160750,2538.0,1.6,351304,6077186,1.5914,13.5
352,KOSPI,20100528,162278,1528.0,0.95,308971,5857887,0.9461,14.5
353,KOSPI,20100531,164125,1847.0,1.14,292623,4285932,1.1317,17.5
354,KOSPI,20100601,163040,-1085.0,-0.66,307728,4753957,-0.6633,18.5
355,KOSPI,20100603,166184,3144.0,1.93,304394,5095178,1.91,20.5
356,KOSPI,20100604,166413,229.0,0.14,279767,4971542,0.1377,21.5
357,KOSPI,20100607,163797,-2616.0,-1.57,297442,4802099,-1.5845,24.5
358,KOSPI,20100608,165148,1351.0,0.82,273777,4848282,0.8214,25.5
359,KOSPI,20100609,164722,-426.0,-0.26,308128,5271753,-0.2583,26.5
360,KOSPI,20100610,165170,448.0,0.27,301583,5308129,0.2716,27.5
361,KOSPI,20100611,167534,2364.0,1.43,362778,5279601,1.4211,28.5
362,KOSPI,20100614,169060,1526.0,0.91,367908,4665416,0.9067,2.0
363,KOSPI,20100615,169003,-57.0,-0.03,341912,4619322,-0.0337,3.0
364,KOSPI,20100616,170533,1530.0,0.91,372613,5428628,0.9012,4.0
365,KOSPI,20100617,170792,259.0,0.15,363549,5452041,0.1518,5.0
366,KOSPI,20100618,171195,403.0,0.24,282832,4309519,0.2357,6.0
367,KOSPI,20100621,173968,2773.0,1.62,385432,5893526,1.6068,9.0
368,KOSPI,20100622,173148,-820.0,-0.47,394953,5176995,-0.4725,10.0
369,KOSPI,20100623,172582,-566.0,-0.33,356657,4683920,-0.3274,11.0
370,KOSPI,20100624,173987,1405.0,0.81,307426,4278735,0.8108,12.0
371,KOSPI,20100625,172984,-1003.0,-0.58,297055,4590497,-0.5781,13.0
372,KOSPI,20100628,173203,219.0,0.13,341856,3940383,0.1265,16.0
373,KOSPI,20100629,170776,-2427.0,-1.4,374735,4863645,-1.4112,17.0
374,KOSPI,20100630,169829,-947.0,-0.55,336134,5267179,-0.5561,18.0
375,KOSPI,20100701,168624,-1205.0,-0.71,322239,5692660,-0.7121,19.0
376,KOSPI,20100702,167182,-1442.0,-0.86,338515,5415705,-0.8588,20.0
377,KOSPI,20100705,167537,355.0,0.21,348999,4075668,0.2121,23.0
378,KOSPI,20100706,168494,957.0,0.57,329832,4787505,0.5696,24.0
379,KOSPI,20100707,167565,-929.0,-0.55,339620,4539469,-0.5529,25.0
380,KOSPI,20100708,169864,2299.0,1.37,324761,5013636,1.3627,26.0
381,KOSPI,20100709,172301,2437.0,1.43,464064,5460776,1.4245,27.0
382,KOSPI,20100712,173405,1104.0,0.64,340034,4556048,0.6387,0.7
383,KOSPI,20100713,173508,103.0,0.06,406564,5544563,0.0594,1.7
384,KOSPI,20100714,175801,2293.0,1.32,526924,7952223,1.3129,2.7
385,KOSPI,20100715,175129,-672.0,-0.38,384179,5283767,-0.383,3.7
386,KOSPI,20100716,173845,-1284.0,-0.73,370443,5927965,-0.7359,4.7
387,KOSPI,20100719,173195,-650.0,-0.37,277677,4485555,-0.3746,7.7
388,KOSPI,20100720,173677,482.0,0.28,301968,4796083,0.2779,8.7
389,KOSPI,20100721,174878,1201.0,0.69,364242,5723736,0.6891,9.7
390,KOSPI,20100722,173553,-1325.0,-0.76,392992,6915986,-0.7606,10.7
391,KOSPI,20100723,175806,2253.0,1.3,363733,6867834,1.2898,11.7
392,KOSPI,20100726,176907,1101.0,0.63,314058,5023258,0.6243,14.7
393,KOSPI,20100727,176831,-76.0,-0.04,331788,5166438,-0.043,15.7
394,KOSPI,20100728,177347,516.0,0.29,318336,5163003,0.2914,16.7
395,KOSPI,20100729,177088,-259.0,-0.15,338509,5247165,-0.1461,17.7
396,KOSPI,20100730,175933,-1155.0,-0.65,366343,5237055,-0.6544,18.7
397,KOSPI,20100802,178227,2294.0,1.3,328318,5716596,1.2955,21.7
398,KOSPI,20100803,179060,833.0,0.47,343084,5471114,0.4663,22.7
399,KOSPI,20100804,178926,-134.0,-0.07,329814,5650488,-0.0749,23.7
400,KOSPI,20100805,178386,-540.0,-0.3,333440,6130966,-0.3023,24.7
401,KOSPI,20100806,178383,-3.0,0.0,328402,5542547,-0.0017,25.7
402,KOSPI,20100809,179017,634.0,0.36,285563,4048057,0.3548,28.7
403,KOSPI,20100810,178113,-904.0,-0.5,295952,4863964,-0.5063,0.4
404,KOSPI,20100811,175819,-2294.0,-1.29,373606,5304966,-1.2963,1.4
405,KOSPI,20100812,172175,-3644.0,-2.07,350337,5300270,-2.0944,2.4
406,KOSPI,20100813,174624,2449.0,1.42,273717,4356142,1.4124,3.4
407,KOSPI,20100816,174331,-293.0,-0.17,308448,4080101,-0.1679,6.4
